,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
98,symmetric,max1,0.86,0.0,0.0,999999, 1
97,symmetric,max1,0.87,0.0,0.0,999999, 1
88,symmetric,max1,0.88,0.0,0.0,999999, 1
104,symmetric,max1,0.89,0.0,0.0,999999, 1
113,symmetric,max1,0.9,0.0,0.0,999999, 1
92,symmetric,max1,0.91,0.0,0.0,999999, 1
96,symmetric,max1,0.92,0.0,0.0,999999, 1
103,symmetric,max1,0.93,0.0,0.0,999999, 1
110,symmetric,max1,0.94,0.0,0.0,999999, 1
125,symmetric,max1,0.95,0.0,0.0,999999, 1
124,symmetric,max1,0.96,0.0,0.0,999999, 1
118,symmetric,max1,0.97,0.0,0.0,999999, 1
121,symmetric,max1,0.98,0.0,0.0,999999, 1
122,symmetric,max1,0.99,0.0,0.0,999999, 1
130,symmetric,nomax,0.44,0.008,0.008,13553, 1
181,symmetric,nomax,0.45,0.021,0.021,9994, 31
229,symmetric,nomax,0.46,0.032,0.032,8431, 140
234,symmetric,nomax,0.47,0.043,0.043,7298, 275
236,symmetric,nomax,0.48,0.052,0.052,6559, 422
237,symmetric,nomax,0.49,0.06,0.06,5982, 571
238,symmetric,nomax,0.5,0.067,0.067,5520, 684
239,symmetric,nomax,0.51,0.073,0.073,5148, 766
240,symmetric,nomax,0.52,0.079,0.079,4782, 826
241,symmetric,nomax,0.53,0.083,0.083,4547, 882
242,symmetric,nomax,0.54,0.087,0.087,4302, 924
243,symmetric,nomax,0.55,0.091,0.091,4056, 958
249,symmetric,nomax,0.56,0.094,0.094,3860, 991
246,symmetric,nomax,0.57,0.096,0.096,3715, 1027
269,symmetric,nomax,0.57,0.098,0.098,3564, 1058
273,symmetric,nomax,0.59,0.099,0.099,3460, 1094
255,symmetric,nomax,0.6,0.099,0.099,3405, 1139
279,symmetric,nomax,0.61,0.099,0.099,3349, 1181
263,symmetric,nomax,0.62,0.099,0.099,3295, 1221
245,symmetric,nomax,0.63,0.099,0.099,3243, 1260
