,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
8,symmetric,max1,0.1, 0.0, 0.0, inf, 1
5,symmetric,max1,0.11, 0.0, 0.0, inf, 1
10,symmetric,max1,0.12, 0.0, 0.0, inf, 1
11,symmetric,max1,0.13, 0.0, 0.0, inf, 1
17,symmetric,max1,0.14, 0.0, 0.0, inf, 1
9,symmetric,max1,0.15, 0.0, 0.0, inf, 1
15,symmetric,max1,0.16, 0.0, 0.0, inf, 1
13,symmetric,max1,0.17, 0.0, 0.0, inf, 1
14,symmetric,max1,0.18, 0.0, 0.0, inf, 1
20,symmetric,max1,0.19, 0.0, 0.0, inf, 1
23,symmetric,max1,0.2, 0.0, 0.0, inf, 1
19,symmetric,max1,0.21, 0.0, 0.0, inf, 1
24,symmetric,max1,0.22, 0.0, 0.0, inf, 1
21,symmetric,max1,0.23, 0.0, 0.0, inf, 1
22,symmetric,max1,0.24, 0.0, 0.0, inf, 1
62,symmetric,max1,0.25, 0.023, 0.023, 7611.0, 1
115,symmetric,max1,0.26, 0.048, 0.048, 5838.0, 1
133,symmetric,max1,0.27, 0.068, 0.068, 4946.0, 1
146,symmetric,max1,0.28, 0.08600000000000001, 0.08600000000000001, 4307.0, 1
180,symmetric,max1,0.28, 0.1, 0.1, 3868.0, 1
171,symmetric,max1,0.3, 0.1, 0.1, 3869.0, 1
169,symmetric,max1,0.31, 0.1, 0.1, 3867.0, 1
160,symmetric,max1,0.32, 0.1, 0.1, 3863.0, 1
153,symmetric,max1,0.33, 0.1, 0.1, 3857.0, 1
161,symmetric,max1,0.34, 0.1, 0.1, 3849.0, 1
156,symmetric,max1,0.35, 0.1, 0.1, 3837.0, 1
159,symmetric,max1,0.36, 0.1, 0.1, 3822.0, 1
162,symmetric,max1,0.37, 0.1, 0.1, 3804.0, 1
179,symmetric,max1,0.38, 0.1, 0.1, 3781.0, 1
168,symmetric,max1,0.39, 0.1, 0.1, 3753.0, 1
158,symmetric,max1,0.4, 0.1, 0.1, 3720.0, 1
148,symmetric,max1,0.41, 0.1, 0.1, 3681.0, 1
174,symmetric,max1,0.42, 0.1, 0.1, 3635.0, 1
167,symmetric,max1,0.43, 0.1, 0.1, 3582.0, 1
178,symmetric,max1,0.44, 0.1, 0.1, 3520.0, 1
149,symmetric,max1,0.45, 0.1, 0.1, 3449.0, 1
163,symmetric,max1,0.46, 0.1, 0.1, 3367.0, 1
152,symmetric,max1,0.47, 0.1, 0.1, 3274.0, 1
151,symmetric,max1,0.48, 0.1, 0.1, 3167.0, 1
155,symmetric,max1,0.49, 0.1, 0.1, 3045.0, 1
176,symmetric,max1,0.5, 0.1, 0.1, 2907.0, 1
173,symmetric,max1,0.51, 0.1, 0.1, 2751.0, 1
172,symmetric,max1,0.52, 0.1, 0.1, 2575.0, 1
154,symmetric,max1,0.53, 0.1, 0.1, 2377.0, 1
166,symmetric,max1,0.54, 0.1, 0.1, 2156.0, 1
164,symmetric,max1,0.55, 0.1, 0.1, 1909.0, 1
147,symmetric,max1,0.56, 0.095, 0.095, 1857.0, 1
141,symmetric,max1,0.57, 0.075, 0.075, 2259.0, 1
145,symmetric,max1,0.57, 0.08600000000000001, 0.08600000000000001, 1990.0, 1
126,symmetric,max1,0.59, 0.064, 0.064, 2590.0, 1
116,symmetric,max1,0.6, 0.052000000000000005, 0.052000000000000005, 3113.0, 1
112,symmetric,max1,0.61, 0.04, 0.04, 3895.0, 1
63,symmetric,max1,0.62, 0.026000000000000002, 0.026000000000000002, 5767.0, 1
61,symmetric,max1,0.63, 0.011, 0.011, 12185.0, 1
60,symmetric,max1,0.64, 0.0, 0.0, 999999.0, 1
59,symmetric,max1,0.65, 0.0, 0.0, 999999.0, 1
56,symmetric,max1,0.66, 0.0, 0.0, 999999.0, 1
34,symmetric,max1,0.67, 0.0, 0.0, 999999.0, 1
33,symmetric,max1,0.68, 0.0, 0.0, 999999.0, 1
26,symmetric,max1,0.69, 0.0, 0.0, 999999.0, 1
42,symmetric,max1,0.7, 0.0, 0.0, 999999.0, 1
46,symmetric,max1,0.71, 0.0, 0.0, 999999.0, 1
29,symmetric,max1,0.72, 0.0, 0.0, 999999.0, 1
38,symmetric,max1,0.73, 0.0, 0.0, 999999.0, 1
47,symmetric,max1,0.74, 0.0, 0.0, 999999.0, 1
55,symmetric,max1,0.75, 0.0, 0.0, 999999.0, 1
43,symmetric,max1,0.76, 0.0, 0.0, 999999.0, 1
58,symmetric,max1,0.77, 0.0, 0.0, 999999.0, 1
28,symmetric,max1,0.78, 0.0, 0.0, 999999.0, 1
25,symmetric,max1,0.79, 0.0, 0.0, 999999.0, 1
41,symmetric,max1,0.8, 0.0, 0.0, 999999.0, 1
36,symmetric,max1,0.81, 0.0, 0.0, 999999.0, 1
49,symmetric,max1,0.82, 0.0, 0.0, 999999.0, 1
50,symmetric,max1,0.83, 0.0, 0.0, 999999.0, 1
